Company,Score
TSLA,1.0
SYM,0.98568046
BNTX,0.85462534
NVDA,0.8351722
MRNA,0.813334
NET,0.7357279
PDD,0.71899736
TTD,0.6841687
PLTR,0.67055035
LI,0.63556576
MDB,0.6122186
SHOP,0.6040399
SE,0.6021941
TRGP,0.6006726
ZS,0.55878496
CVE,0.5524329
AMD,0.55223703
DDOG,0.51990974
ARES,0.50724995
MELI,0.5009705
KLAC,0.49425387
CARR,0.49371433
CEG,0.48702037
PWR,0.4836979
CRWD,0.47706282
CDNS,0.4754492
SNPS,0.47261214
LRCX,0.47143447
FICO,0.47015476
ON,0.46964145
SNAP,0.4534812
DVN,0.4444419
ARGX,0.4427626
LLY,0.44143295
AMAT,0.43685448
URI,0.43685448
MBLY,0.4315294
CNQ,0.43122613
HUBS,0.4287001
UMC,0.4285872
MPWR,0.4247718
CMG,0.41408288
PANW,0.41022944
AVGO,0.40932512
PBR,0.40437067
FCX,0.4033289
ODFL,0.40297914
CCJ,0.40260625
DXCM,0.398291
ASML,0.3962655
NVO,0.3943324
BX,0.39045775
APO,0.38046038
HES,0.37637615
ANET,0.37513053
FTNT,0.37236905
FANG,0.37009525
MRVL,0.3683573
AAPL,0.36623406
SGEN,0.35896015
ELP,0.34041476
DHI,0.33795476
NOW,0.3356992
CPRT,0.3348776
LULU,0.33376408
FCNCA,0.32978916
STM,0.32132864
LEN,0.31827843
MSCI,0.31718254
AMP,0.31706333
NUE,0.31665623
TDG,0.31632793
MCK,0.31519997
HAL,0.3083372
KKR,0.29346633
SCCO,0.28779602
PINS,0.28370464
ETN,0.28310668
MSFT,0.28249395
RACE,0.27695024
WST,0.27276826
AZO,0.2722919
CTAS,0.26894546
AJG,0.266276
IR,0.2642163
LNG,0.26267576
VLO,0.26149607
ACGL,0.26001155
PH,0.25972128
TEAM,0.25909007
TT,0.25860882
TSM,0.25628078
FERG,0.25628078
WPM,0.24936795
HWM,0.24759936
ALNY,0.24034464
IT,0.23938894
NTES,0.23849928
GE,0.23771846
QCOM,0.23626912
DELL,0.23535562
INTU,0.2347368
META,0.23175609
NXPI,0.22773647
TRI,0.22708416
IMO,0.22480905
OXY,0.21491349
MOH,0.2135737
GWW,0.21311593
MCHP,0.2126441
TW,0.21052909
DE,0.20842683
PGR,0.20670223
BBVA,0.20411313
PXD,0.20366395
CRH,0.20336652
MLM,0.20238209
MU,0.20125806
ADBE,0.20089626
COST,0.19952273
CDW,0.19679749
RCL,0.19472301
LIN,0.19445121
NVR,0.18884814
PCAR,0.18859482
ORCL,0.18845463
LOW,0.18806732
MSI,0.18775892
BRO,0.1862557
UBS,0.18614948
GOOGL,0.1839602
COP,0.1837858
SLB,0.1817168
MCO,0.17845142
STLA,0.1776979
IDXX,0.17742515
TSCO,0.17709708
EOG,0.17445266
MMC,0.17420363
IBN,0.17325926
SPGI,0.17257667
WDAY,0.17216635
COR,0.1700679
FAST,0.16762781
RJF,0.16444957
HLT,0.16395426
CSGP,0.16309607
RIO,0.16250336
CQP,0.16241372
VEEV,0.16124701
ADI,0.16118395
DHR,0.16003323
TS,0.15611231
BGNE,0.15579188
REGN,0.1538527
CAH,0.15284288
AIG,0.15277791
MS,0.15228069
MPLX,0.15210545
HEI,0.15208912
KEYS,0.14918101
EFX,0.14915037
CAT,0.1484344
EQIX,0.14608693
TGT,0.1457578
OTIS,0.14554691
SPOT,0.14486468
ING,0.14423072
VMC,0.14311445
NFLX,0.14168274
GMAB,0.14150608
ACN,0.14099145
EQNR,0.14093518
HCA,0.14093518
DFS,0.1408565
SPLK,0.14021432
MAR,0.13624287
CBRE,0.13503098
LYV,0.13355863
APH,0.13306618
AME,0.13306618
PSX,0.13262177
WMB,0.13046765
HIG,0.12825704
PDX,0.12756228
F,0.12611294
MA,0.1257348
PKX,0.12507463
ET,0.12430537
BKR,0.12393534
RSG,0.12369299
ULTA,0.12244487
TMUS,0.12241781
AON,0.12176776
GRMN,0.12072301
SHW,0.11781669
INFY,0.11781669
GS,0.11723316
ANSS,0.11612284
SQ,0.115570664
BHP,0.11507106
VRTX,0.11339092
VRSK,0.11326337
UNH,0.113006115
VICI,0.11298561
ISRG,0.11295903
ROK,0.11245346
PCG,0.112169504
ICLR,0.11213279
AFL,0.11102629
TJX,0.10987818
BLK,0.10968053
ZTS,0.1081233
NOC,0.1081233
PLD,0.10772824
MET,0.10694659
BR,0.106919765
CTVA,0.106714845
AMZN,0.1056093
TMO,0.10490942
VALE,0.10471153
HD,0.10469282
PAYX,0.104690194
NDAQ,0.103877544
ABBV,0.102813125
ITW,0.100757
GEHC,0.09908581
OKE,0.09875858
DB,0.0944978
SU,0.094156146
RELX,0.09393132
FNV,0.09203267
TEL,0.091287136
ZM,0.08975053
SYK,0.08951104
UBER,0.0885154
MTD,0.08799422
DOV,0.087919354
TXN,0.08769429
COF,0.08763254
WM,0.0872947
ADM,0.087031245
JCI,0.085412025
TCOM,0.084916115
RYAAY,0.084367275
CB,0.084353805
STE,0.08409798
APD,0.084095
HSY,0.08399665
HLN,0.08384168
AZN,0.08350456
V,0.08322322
CP,0.083081245
ADP,0.0827502
CMI,0.08224523
ELV,0.08116424
IQV,0.07920003
ALL,0.07899153
INVH,0.07895374
IBM,0.07723057
SO,0.07721269
ADSK,0.07585025
WELL,0.07498062
XOM,0.07414389
AXP,0.073800564
PG,0.07303035
TTE,0.06984103
A,0.069453835
AEM,0.06891847
BKNG,0.06744146
NWG,0.067073345
HUM,0.06446111
CVX,0.064429164
GIS,0.064153075
SRE,0.0636785
ARM,0.062891245
ROST,0.06226504
LMT,0.06106329
CRM,0.060765028
JD,0.06024146
APTV,0.059815526
WMT,0.05910945
RMD,0.05890441
LYB,0.056290388
WCN,0.05601549
SLF,0.055283785
MDLZ,0.054817915
FDX,0.054625154
JPM,0.054217696
WY,0.05380869
HPQ,0.053474188
SAP,0.05297804
SONY,0.052037477
SBUX,0.05100596
MFC,0.049821496
BN,0.049482465
NKE,0.048374653
MT,0.047623754
SCHW,0.045896173
FITB,0.045449495
WDS,0.042877197
KR,0.042422056
MUFG,0.04171431
UNP,0.039642453
EC,0.03952837
CTRA,0.039414883
FI,0.038915277
FMX,0.038688064
GOLD,0.03860557
XYL,0.037377477
WTW,0.036067367
EXR,0.03535068
EA,0.035268664
WAB,0.03469789
UPS,0.033540487
EBAY,0.033382177
IBKR,0.03230357
EMR,0.032185078
GD,0.032128215
MCD,0.030430675
CI,0.029042244
E,0.02865076
AMGN,0.028569937
EPD,0.028459191
NTR,0.028079271
QSR,0.027652979
HPE,0.026055098
CCEP,0.024008036
NEM,0.022895336
NGG,0.02237022
KMI,0.019467354
GIB,0.018956423
PEP,0.018267035
TRV,0.016345024
MRK,0.015569568
BSX,0.015393972
TTWO,0.01397872
ABT,0.013898373
PRU,0.013504386
YUM,0.01297915
SHEL,0.012008548
DLTR,0.011885881
NSC,0.010277629
PSA,0.009731293
AWK,0.0086836815
TM,0.0085657835
PM,0.008506179
NEE,0.008366942
CSX,0.0062731504
PPG,0.0061531067
LHX,0.005933404
DLR,0.0043064356
ROL,0.0035330057
PUK,0.002061963
STZ,0.0020397902
BMO,0.001926899
DOW,0.0015461445
EIX,0.0011813641
ICE,0.0011062622
STT,-0.0011391044
EXC,-0.0016263127
SBAC,-0.0024504662
CHD,-0.002851069
CNI,-0.0029945374
ENB,-0.0033396482
DAL,-0.0045164227
NU,-0.005157709
TD,-0.0056475997
SYY,-0.007153034
BCS,-0.00983417
EW,-0.010720789
BAC,-0.011274457
VRSN,-0.011516154
ETR,-0.01183182
BP,-0.013079703
HON,-0.013478994
SMFG,-0.013821423
RY,-0.016719341
AMT,-0.017098784
CHTR,-0.01792109
BTI,-0.02147907
TROW,-0.02156192
RTX,-0.021626115
NVS,-0.02256763
PEG,-0.024040759
CME,-0.024086058
WEC,-0.024109662
GILD,-0.027360141
ALC,-0.027608216
PNC,-0.029265761
XEL,-0.031053364
FE,-0.031083882
ED,-0.03276235
CSCO,-0.033288896
FTS,-0.033841968
HDB,-0.034225583
CMCSA,-0.035735667
KO,-0.03573692
ITUB,-0.035867274
CL,-0.03880745
GPN,-0.039648175
SAN,-0.04023522
ECL,-0.040768564
AEE,-0.04082167
DG,-0.04253167
HMC,-0.04388088
SNY,-0.045468748
SPG,-0.04718381
DUK,-0.04782003
CM,-0.04810369
KDP,-0.048632503
TLK,-0.050038457
CNC,-0.051573515
DTE,-0.051700234
TRP,-0.051774025
HSBC,-0.054623663
GFS,-0.05769247
AEP,-0.063489616
FTV,-0.063905895
ZBH,-0.06406218
LVS,-0.06469822
TU,-0.06561279
MO,-0.065769196
KMB,-0.06587142
LYG,-0.06587869
CHT,-0.067020476
GM,-0.06778145
BK,-0.06827587
COIN,-0.06905675
CTSH,-0.069916844
AVB,-0.070174694
JNJ,-0.07126683
BMY,-0.07327634
O,-0.07461864
CCI,-0.07525951
IX,-0.0765152
GSK,-0.07812393
BCE,-0.078268886
GLW,-0.07849902
WFC,-0.07989377
PPL,-0.08038813
DEO,-0.08113998
BDX,-0.08208257
INTC,-0.08212471
CVS,-0.08228576
T,-0.08811492
C,-0.09034717
BIIB,-0.093292356
MFG,-0.09331429
MTB,-0.09410238
BNS,-0.0964064
ES,-0.098561645
BA,-0.09910756
EL,-0.09952623
DD,-0.10036051
WIT,-0.10526818
BIDU,-0.107676625
EQR,-0.10811341
USB,-0.11235225
TFC,-0.11379582
BSBR,-0.11607778
ABNB,-0.12255454
KHC,-0.12774915
UL,-0.12885499
PFE,-0.14171207
BUD,-0.14446396
DIS,-0.14664227
MDT,-0.14712328
ABEV,-0.1480335
PYPL,-0.14876634
ORAN,-0.15016675
RCI,-0.15156943
BEKE,-0.17476827
RBLX,-0.17476827
CCL,-0.17577267
NOK,-0.18391103
TAK,-0.18550378
SNOW,-0.18779439
D,-0.20433688
BABA,-0.20958996
VZ,-0.2105785
BBD,-0.22396374
WBD,-0.22802198
TEF,-0.2339539
VOD,-0.23542285
DASH,-0.24634933
IFF,-0.2478404
FIS,-0.26554525
MMM,-0.30158597
CPNG,-0.31757927
KVUE,-1.0
