Company,Score
TSLA,1.0
EXR,0.7987147732061395
FNV,0.6675776988739002
FICO,0.4843123588667706
CMG,0.4337328996367398
NOW,0.42691432612664326
LRCX,0.4181507248017866
COST,0.41710241943923076
RACE,0.3864672238574298
AZO,0.3838869961604503
SPGI,0.37803507515380796
CTAS,0.3709319610530506
CPNG,0.36166015683176145
MELI,0.35833284002778054
INTU,0.351441924890467
AVGO,0.33513742800437774
IDXX,0.3272350566744393
VRTX,0.3267531947104032
MA,0.3187186769862993
LIN,0.3141766043618337
A,0.3124432978516336
TDG,0.31211962927249326
AMGN,0.31037081111518905
SBAC,0.30723394146798166
ADBE,0.3066364309723393
GWW,0.30581494319801794
FCNCA,0.3036344768724364
PANW,0.3006833653188645
HEI,0.29666095133618553
EQIX,0.29369299932689663
MPWR,0.28708810328127443
DOV,0.28234121569228177
TMO,0.28228879663167694
PEP,0.2806064453095771
CDW,0.2796553183016135
NOC,0.27242393218408867
REGN,0.2673524529663569
MRNA,0.26635359121791335
MCD,0.26628389173035183
RBLX,0.26237654478954653
UNH,0.2542584772671961
NFLX,0.25360238315749406
CRM,0.24981989127448956
URI,0.24972515374249582
NVR,0.2491007196468089
CCL,0.24426049938003214
SHOP,0.2441675643735557
CVX,0.241155130179858
HON,0.23826497574432115
BLK,0.23584781316642744
V,0.23524755292206168
PYPL,0.23506212622251876
AON,0.22810824189289902
JPM,0.22614880392723857
SNOW,0.22256833451792812
LMT,0.221290586347219
NXPI,0.21906531304545473
MSCI,0.21725754869161196
ELV,0.21670148889239038
SPOT,0.21093162505112528
ABNB,0.2076775911538462
PG,0.2041159445622327
LNG,0.19945940674205676
MTD,0.18073900651014907
HUM,0.18017869922192387
FANG,0.1791436161835238
COIN,0.17366586885307167
ALL,0.17335389952622382
TROW,0.1717997255409225
DEO,0.1701833954467089
LULU,0.16884722133908925
GD,0.16753607900813772
WDAY,0.16594805590709694
UPS,0.16585228485723946
APTV,0.161690458588301
MLM,0.1576422556459116
NET,0.15584300281126562
DE,0.15484986640225462
BX,0.15168615505433714
TRV,0.15156366827835543
BKNG,0.1457217497446932
RCL,0.14297404565940375
MAR,0.14058227713354365
TXN,0.13960791023519148
PXD,0.13780045518151485
IQV,0.13098922504016342
DIS,0.12826556712092052
ANSS,0.12622451611559193
RMD,0.12121086962830407
ULTA,0.11645881901311106
ZTS,0.1130296052811044
TMUS,0.11065012349562076
DHR,0.109919670425491
HUBS,0.10533214281809422
TSM,0.1028724110091368
PH,0.10263432681946849
DFS,0.10189069223656477
BIIB,0.09641604666052461
WST,0.09641465292582652
CHTR,0.09549901487838519
BDX,0.09389380312353257
CI,0.0927495081389007
CNI,0.09111543497376706
VEEV,0.08531699150978111
IT,0.0842754992592214
ANET,0.08178713225143341
EW,0.0793601903801544
CME,0.07856437555930396
MDT,0.07823821495446781
BEKE,0.07568867275427027
APD,0.07529627595676414
BR,0.07503526887391176
CDNS,0.07459802568231244
HES,0.0672729777742267
QCOM,0.06657643565046989
LYV,0.06442700029953485
ISRG,0.062144822563319435
DAL,0.061920296252266915
ICE,0.06151103464263463
LLY,0.060839098105166745
ABT,0.05484841950442454
DTE,0.051389767543741804
TRI,0.049699976208706476
DXCM,0.045869929752033745
WBD,0.04101951462751341
NKE,0.04021950082664816
PWR,0.035169612355897995
ODFL,0.02640590047993352
D,0.024896870143398475
AVB,0.02429518894656968
PKX,0.023722148447202107
BUD,0.01987800169995002
ETN,0.018953466872374536
SONY,0.01384673763961275
IFF,0.013093776930454437
ACN,0.009246394218667575
XYL,0.00923064492636061
AMT,0.0055374894180570955
PAYX,0.004555959280086119
ROST,0.0036298481979835096
RYAAY,0.001586484286402623
EA,0.0008485444859795965
JD,0.0007208484304899176
CVS,-0.002217335795647535
C,-0.004249418686592121
ADI,-0.007569159469778541
DD,-0.008976448442638785
VZ,-0.011525961683595765
CNC,-0.01197420566180607
PCG,-0.013571878935310644
MTB,-0.013587869618520543
PSA,-0.01549592873925032
TFC,-0.015967443717530783
LVS,-0.02183411336080998
LHX,-0.02298450788104156
ES,-0.02453425678157395
PUK,-0.024892729290538096
OXY,-0.025444599175090787
EQR,-0.027032677852714793
NTES,-0.027739386225369866
COP,-0.027890803869316305
USB,-0.028286572432993262
NTR,-0.028364619245084266
FI,-0.029803879229504004
PGR,-0.03410816598356736
ETR,-0.03470529884331386
TTD,-0.03497947435858906
STT,-0.03606506082806782
IX,-0.041164298560355195
PINS,-0.04207237132818664
SNAP,-0.04234620947860701
KHC,-0.044232246218789406
PFE,-0.04609635625310515
SYK,-0.05029525466480833
GM,-0.0509330797135813
RTX,-0.051453126293875884
TEL,-0.05285659410729382
CTSH,-0.05501898094013369
GFS,-0.055881816910632764
